Nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,,,,,
1,,,,,,,,,,,,,1,5,,,,2,,,,3,,,2,,,,,,,,20,,,2,,,,2,2,5,,,,,1,,18,2,,2,,,3,,5,,,,,,,3,,,,,,,,,,,1,,5,1,1,5,2,,,,,
2,2,,,1,3,,5,,,,,2,,,,,,,2,,,,,3,3,5,14,2,1,,,2,,,10,3,3,2,2,,,2,,,,2,,5,,,,,2,,,,,12,,4,1,,,,,,,1,1,,,,2,4,,,,,,,,,,,,
3,,,,1,,2,,,7,,43,,,2,,2,2,8,,,8,8,,,,,,,,,3,,,,,,,,,4,6,,,,9,,5,,,7,2,3,2,3,,1,2,,32,1,,5,5,,,,3,,,,,5,,,,3,,11,2,2,,,,,,
4,,,1,,1,,,,,1,,,,2,8,,10,2,,5,1,,,,,,,,1,,1,2,1,,,2,3,,1,4,,,,1,,,10,,,1,,,,2,,,,,,1,,,1,6,,3,2,1,1,,,,2,1,5,1,,,3,,1,,,,,
5,,3,,,,,2,,,,,20,,,,,,,1,,3,,,2,,3,2,,,,,1,,,3,,1,2,1,3,,,,,,1,,20,,,,,,,3,,,5,,1,,,,,,,,,20,,,,2,3,,,3,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,
7,,3,,,1,,,,,,,3,1,,,,,,3,,,,3,,1,3,5,1,,,,2,,,,,5,1,3,,,,,,,1,,2,,,,,4,,,,,18,,22,,,,,,,,5,2,,,,1,1,,,,,1,,,,,,,
8,1,,,,,,,,,2,,,,3,,,,,,,1,,,,,,,,,,,,10,,,,,2,,,,,1,,,,1,,5,,,,7,,,,,,,,,2,,,,,,,,,,,,2,,,,,,4,,,,,,
9,,,4,2,,5,,,-,,2,3,,,,,1,,4,,,4,,,,,,2,,,4,,,,,,,,,3,4,,,,3,,3,,,1,,3,3,2,,1,,,1,,3,6,5,1,,,4,,,,1,6,,,3,2,,3,6,6,6,,,,,
10,,,,4,,,,,,,,3,,,5,,,,,,,,,,18,10,4,20,,,,5,,,,,3,5,20,,,,,,,6,,8,,,,,3,,,,,5,,6,5,,,,,,,5,4,,,,,5,,,,,,,,,,,,
